peakLabel,peakMz,peakMzWidth[ppm],rtmin,rtmax
P1,151.0605,10,4.65,5.2
P2,151.02585,10,4.18,4.53
P3,117.01905,10,0.87,2.5
P4,137.0354,10,4.3,4.6
P5,147.0657,10,1.7,4.3
P6,147.0657,10,1.,4.2

