ms_file,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_path,ms_file_size
CA_B2.mzXML,Urocanate,137.0354,10,264.9,258.0,276.0,s,0,targets.csv,49010.7809753418,18220.21044921875,20,7086.74560546875,260.917,459.7257385253906,2221.8099365234375,2450.5390487670898,43.2449951171875,"258.64,260.16,260.92,261.68,262.43,263.19,263.95,264.71,265.47,266.23,266.98,267.74,268.5,269.26,270.77,271.53,272.27,273.0,273.74,274.5","524,2389,2444,3782,5100,6032,7086,3912,1911,2864,2335,2107,715,2483,891,1855,459,901,727,481",-0.6930822739999519,-0.33119721033665767,-0.10849870962078424,0.10686809665066498,23900678292.565353,/data/Metabolomics/ms-mint/demofiles/ms-files,12.576957702636719
CA_B2.mzXML,Mevalonate,147.0657,10,180.0,102.0,258.0,s,0,targets.csv,27692.834594726562,2912.746337890625,49,1320.25146484375,102.47,335.4228210449219,549.4705200195312,565.1598896882972,117.995849609375,"102.47,113.84,119.15,119.91,122.94,123.7,124.46,126.73,127.49,129.77,130.52,131.28,132.04,132.8,133.56,134.32,135.07,135.83,139.62,142.66,143.42,144.17,144.93,145.69,146.45,147.21,149.48,151.76,153.27,154.03,154.79,157.06,160.09,160.85,163.89,166.92,167.68,168.44,169.19,169.95,171.47,172.23,187.39,191.94,193.46,203.14,204.64,214.29,234.38","553,605,416,357,695,610,716,690,510,515,805,600,425,1320,559,460,688,565,705,403,547,518,531,513,787,722,335,503,457,607,503,568,565,541,549,441,369,612,610,594,392,474,577,531,625,581,468,518,435",1.7933829383395168,2.0008927664299554,2.312157508565613,0.011424479409181176,23900678292.565353,/data/Metabolomics/ms-mint/demofiles/ms-files,12.576957702636719
CA_B2.mzXML,Nicotinate,122.02455,10,183.204,165.0,225.0,s,0,targets.csv,405214.1758117676,61672.9140625,61,21670.97265625,223.852,386.9817810058594,3610.072998046875,6642.855341176518,101.63531494140625,"165.4,166.16,177.53,178.29,179.05,179.81,180.57,181.32,182.08,182.84,183.6,184.36,185.12,185.88,186.63,187.39,188.15,188.91,189.67,190.42,191.18,191.94,192.7,193.46,194.22,194.97,195.7,196.45,197.18,197.92,198.66,199.39,200.14,200.89,201.64,202.4,203.14,203.89,204.64,205.38,206.13,206.86,207.57,208.32,209.05,209.79,210.53,211.28,212.03,212.78,213.53,215.05,215.8,216.54,217.3,218.77,220.21,221.66,222.39,223.85,224.59","386,422,557,418,2308,2066,2741,5123,7423,8764,11277,11387,15858,15276,15834,15497,18054,18703,16254,17015,21670,16026,20889,12311,10875,18032,19112,10937,12291,7095,7274,4648,5812,4933,3617,4044,3755,3610,2946,2638,3220,2640,2145,2489,2483,555,1762,2140,804,727,702,880,964,978,540,868,874,666,797,585,488",-0.48878323822916575,-0.3637363598551009,-0.23868948148103597,0.03319226065370677,23900678292.565353,/data/Metabolomics/ms-mint/demofiles/ms-files,12.576957702636719
CA_B2.mzXML,Citrulline,174.0881,10,504.04200000000003,501.0,510.0,s,0,targets.csv,31680.464111328125,26845.1005859375,6,13242.328125,506.50899999999996,517.017333984375,4519.590576171875,5280.0773518880205,6866.977783203125,"504.99,505.75,506.51,507.27,508.02,509.54","7383,13242,6218,2820,1497,517",-0.5891469696072309,-0.5453220641067975,-0.3700224421050639,0.0698102288471707,23900678292.565353,/data/Metabolomics/ms-mint/demofiles/ms-files,12.576957702636719
CA_B3.mzXML,Arabitol,151.0605,10,295.50000000000006,279.0,312.0,s,0,targets.csv,1767759.20703125,230185.0234375,53,78222.2109375,281.532,1076.10009765625,31871.474609375,33353.947302476416,3071.77294921875,"279.51,280.18,280.85,281.53,282.23,282.92,283.62,284.29,284.91,285.5,286.08,286.66,287.24,287.81,288.39,288.97,289.55,290.13,290.71,291.3,291.89,292.48,293.08,293.67,294.27,294.87,295.48,296.09,296.71,297.34,297.96,298.59,299.22,299.85,300.48,301.14,301.79,302.45,303.11,303.77,304.44,305.1,305.77,306.45,307.13,307.8,308.47,309.14,309.82,310.52,311.21,311.9","10682,18114,28122,32570,53874,73751,78222,78211,71625,37348,51501,47350,33234,27232,29131,52030,53484,40784,34233,46950,48012,37965,44067,49511,43719,47527,55244,32350,39321,44245,31871,30876,24527,25531,28461,37606,22506,26252,25650,21909,18223,21285,16013,12556,15794,13922,10775,8158,9565,10312,6844,7610",2.4315394846571388,2.532550596512985,2.6335617083688305,0.06354801291525869,28076150320.483276,/data/Metabolomics/ms-mint/demofiles/ms-files,12.875276565551758
CA_B3.mzXML,Xanthine,151.02585,10,262.35900000000004,250.79999999999998,271.8,s,0,targets.csv,415149.654296875,64142.6953125,29,25280.900390625,252.82500000000002,9113.5185546875,13972.28515625,14315.505320581897,9238.484375,"251.38,252.1,252.82,253.54,254.27,255.0,255.71,256.44,257.16,257.88,258.6,259.32,260.04,260.74,261.45,262.15,262.88,263.58,264.29,264.98,265.68,266.39,267.1,267.79,268.52,269.24,269.95,270.65,271.35","25280,17573,21288,16555,17082,15265,13616,15310,14697,14658,13972,13580,13770,14738,12107,16415,14891,17268,11273,12025,11387,9563,12461,9113,9305,10977,11511,13411,16042",-0.010669220641822913,0.09036506628654069,0.19139935321490428,0.05998699919535478,28076150320.483276,/data/Metabolomics/ms-mint/demofiles/ms-files,12.875276565551758
CA_B3.mzXML,Succinate,117.01905,10,122.63399999999999,52.2,150.0,s,0,targets.csv,18251525.471984863,3768180.75,133,1300881.625,74.3148,394.2241516113281,6850.90185546875,137229.51482695385,3067.89794921875,"52.82,53.58,54.32,55.05,55.78,56.51,57.26,57.98,58.71,59.43,60.14,60.86,61.59,62.32,63.06,63.79,64.54,65.27,66.01,66.75,67.51,68.26,69.02,69.78,70.53,71.29,72.04,72.8,73.56,74.31,75.07,75.83,76.59,77.35,78.1,78.86,79.62,80.38,81.14,81.9,82.65,83.41,84.17,84.93,85.69,86.44,87.2,87.96,88.72,89.48,90.23,90.99,91.75,92.51,93.27,94.02,94.78,95.54,96.3,97.06,97.82,98.57,99.33,100.09,100.85,101.61,102.36,103.12,103.88,104.63,105.39,106.14,106.9,107.66,108.42,109.18,109.94,110.69,111.45,112.21,112.97,113.73,114.49,115.24,116.0,116.76,117.52,118.28,119.04,119.79,120.55,121.31,122.07,122.83,123.58,124.34,125.1,125.86,126.62,127.38,128.13,128.89,129.65,130.41,131.17,131.93,132.68,133.44,134.2,134.96,135.72,136.47,137.23,137.99,138.75,139.51,140.26,141.02,141.78,142.54,143.3,144.06,144.82,145.55,146.31,147.06,147.82,148.58,149.34","3384,2857,3822,4440,4673,3349,4149,2702,3819,4165,3027,2340,3289,2159,1860,1049,2216,3142,2528,2365,1840,2474,2514,3207,3813,5598,3950,3786,5033,5226,5056,4801,2918,3690,3893,5363,4493,4490,4348,3756,4365,4288,4669,3899,3877,4963,2858,4284,4608,5019,3138,4984,6771,5825,6516,9594,13271,28786,51244,99586,191949,349508,516306,729020,890763,957585,1128149,1115912,1231594,1235704,1300881,1179410,1160842,1151092,1019305,884952,604522,482685,327035,237405,153596,125702,92317,74387,62653,49965,43180,41321,31857,27407,27879,23783,23649,22181,18755,14472,14474,16279,15860,15070,11539,13435,12341,10435,11164,9453,10570,12648,10542,9902,8914,10174,10138,7254,7757,5049,8226,7825,6963,5642,6115,7018,6850,6987,3523,7733,5033,6238,6451",-0.12528425520593392,-0.06008637049186386,0.07030939893627627,0.035905386204466906,28076150320.483276,/data/Metabolomics/ms-mint/demofiles/ms-files,12.875276565551758
CA_B3.mzXML,Urocanate,137.0354,10,264.9,258.0,276.0,s,0,targets.csv,63605.79016113281,25032.3369140625,22,10670.5947265625,267.794,523.2356567382812,1711.3988037109375,2891.1722800514913,445.44573974609375,"258.6,259.32,260.04,260.74,261.45,262.15,262.88,263.58,264.29,264.98,265.68,266.39,267.1,267.79,268.52,269.24,269.95,270.65,271.35,273.37,274.05,274.74","523,694,3858,2650,6785,10670,7502,5817,6859,2295,3065,1179,2467,819,2243,1144,626,934,834,758,902,968",-0.21984795997872095,-0.05282408444181589,0.19771172886354169,0.42758197204405635,28076150320.483276,/data/Metabolomics/ms-mint/demofiles/ms-files,12.875276565551758
CA_B3.mzXML,Mevalonate,147.0657,10,180.0,102.0,258.0,s,0,targets.csv,23074.73959350586,4125.6749267578125,36,1823.1202392578125,232.537,367.08001708984375,532.0567016601562,640.9649887084961,60.45654296875,"104.63,106.14,106.9,116.76,117.52,122.07,123.58,126.62,127.38,128.13,128.89,131.93,132.68,134.2,134.96,137.23,137.99,139.51,140.26,141.78,142.54,143.3,147.82,150.1,150.85,153.12,159.18,163.73,164.49,166.76,169.8,174.34,187.24,188.75,190.27,232.54","467,447,479,430,495,889,566,601,856,628,481,418,841,1413,378,1823,809,810,697,705,425,801,535,611,699,674,479,499,470,833,521,367,443,462,477,528",1.6636892957829927,2.0008927664299554,2.208402594520394,0.017098622471894066,28076150320.483276,/data/Metabolomics/ms-mint/demofiles/ms-files,12.875276565551758
CA_B3.mzXML,Nicotinate,122.02455,10,183.204,165.0,225.0,s,0,targets.csv,499551.52362060547,69681.04296875,57,23892.234375,220.579,692.19677734375,5317.595703125,8764.06181790536,683.0576171875,"176.62,177.38,178.14,178.9,179.65,180.41,181.17,181.93,182.69,183.44,184.2,184.96,185.72,186.48,187.24,187.99,188.75,189.51,190.27,191.03,191.78,192.54,193.3,194.02,194.74,195.45,196.15,196.86,197.56,198.26,198.96,199.66,200.37,201.07,201.77,202.47,203.18,203.89,204.58,205.29,205.99,206.69,207.39,208.08,208.76,209.46,210.17,212.28,212.98,213.69,214.4,215.11,216.5,217.18,217.86,220.58,224.69","692,935,2929,3692,5323,7651,8446,9006,13063,18686,20911,20977,19506,23452,20962,20236,21779,23892,18027,21826,13718,15002,20741,22336,17375,15098,12764,11242,8594,7194,7962,8355,4085,5317,3216,3938,2677,2788,3211,2307,2881,2422,2693,2424,2409,2238,2154,731,963,892,1032,1287,982,1415,2724,992,1375",-0.6138301166032306,-0.4262597990421333,-0.23868948148103597,0.03630429880236373,28076150320.483276,/data/Metabolomics/ms-mint/demofiles/ms-files,12.875276565551758
