peak_label,mz_mean,mz_width,rt_min,rt_max
Arabitol,151.0605,10,4.55,5.4
Xanthine,151.02585,10,3.5,4.6
Succinate,117.01905,10,1.7,2.4
Urocanate,137.0354,10,4.2,4.7
Mevalonate,147.0657,10,1.7,4.3
Nicotinate,122.02455,10,2.75,3.75
