	Group Name	Compounds
0	chlorobenzenes	['CHEBI:5692', 'CHEBI:3639', 'CHEBI:3561', 'CHEBI:3750', 'CHEBI:3764', 'CHEBI:5001', 'CHEBI:3131', 'CHEBI:5818', 'CHEBI:5441', 'CHEBI:4876', 'CHEBI:9588', 'CHEBI:6076', 'CHEBI:1808', 'CHEBI:10588', 'CHEBI:5014', 'CHEBI:1367', 'CHEBI:18855', 'CHEBI:9123', 'CHEBI:3614', 'CHEBI:3654', 'CHEBI:9654', 'CHEBI:2972', 'CHEBI:3259', 'CHEBI:4511', 'CHEBI:7494', 'CHEBI:1800', 'CHEBI:5613', 'CHEBI:2668', 'CHEBI:3219', 'CHEBI:2950', 'CHEBI:5133', 'CHEBI:5135', 'CHEBI:3205', 'CHEBI:3643', 'CHEBI:4464', 'CHEBI:8434', 'CHEBI:9666', 'CHEBI:3757', 'CHEBI:2788', 'CHEBI:19333', 'CHEBI:26889', 'CHEBI:3628', 'CHEBI:29515', 'CHEBI:6482', 'CHEBI:8673', 'CHEBI:3760', 'CHEBI:963', 'CHEBI:3434', 'CHEBI:19904', 'CHEBI:6532', 'CHEBI:3613', 'CHEBI:4874', 'CHEBI:8455', 'CHEBI:4302', 'CHEBI:9339', 'CHEBI:7825', 'CHEBI:3751', 'CHEBI:5693', 'CHEBI:3763', 'CHEBI:9590', 'CHEBI:7957', 'CHEBI:6367', 'CHEBI:8450', 'CHEBI:7778', 'CHEBI:2943', 'CHEBI:3652', 'CHEBI:8657', 'CHEBI:6907', 'CHEBI:3619', 'CHEBI:3636', 'CHEBI:36696', 'CHEBI:34204', 'CHEBI:35445', 'CHEBI:34206', 'CHEBI:34692', 'CHEBI:38214', 'CHEBI:39330', 'CHEBI:38451', 'CHEBI:38937', 'CHEBI:38927', 'CHEBI:39315', 'CHEBI:39112', 'CHEBI:36793', 'CHEBI:36794', 'CHEBI:36697', 'CHEBI:34666', 'CHEBI:34219', 'CHEBI:34221', 'CHEBI:34269', 'CHEBI:34317', 'CHEBI:34703', 'CHEBI:34364', 'CHEBI:34718', 'CHEBI:35859', 'CHEBI:31236', 'CHEBI:36693', 'CHEBI:34326', 'CHEBI:34223', 'CHEBI:34232', 'CHEBI:32079', 'CHEBI:31159', 'CHEBI:31162', 'CHEBI:31183', 'CHEBI:34189', 'CHEBI:34222', 'CHEBI:34224', 'CHEBI:34393', 'CHEBI:34245', 'CHEBI:34248', 'CHEBI:34249', 'CHEBI:34629', 'CHEBI:34630', 'CHEBI:36716', 'CHEBI:34413', 'CHEBI:34192', 'CHEBI:36813', 'CHEBI:34995', 'CHEBI:34996', 'CHEBI:34997', 'CHEBI:35005', 'CHEBI:34197', 'CHEBI:34203', 'CHEBI:34215', 'CHEBI:34216', 'CHEBI:34908', 'CHEBI:34267', 'CHEBI:34270', 'CHEBI:39413', 'CHEBI:37824', 'CHEBI:38813', 'CHEBI:38845', 'CHEBI:38852', 'CHEBI:38598', 'CHEBI:39328', 'CHEBI:39374', 'CHEBI:39375', 'CHEBI:38878', 'CHEBI:38639', 'CHEBI:38873', 'CHEBI:38876', 'CHEBI:38887', 'CHEBI:39361', 'CHEBI:39367', 'CHEBI:39370', 'CHEBI:39382', 'CHEBI:39383', 'CHEBI:39384', 'CHEBI:39385', 'CHEBI:39386', 'CHEBI:39387', 'CHEBI:39388', 'CHEBI:38659', 'CHEBI:39345', 'CHEBI:39346', 'CHEBI:39347', 'CHEBI:39411', 'CHEBI:34998', 'CHEBI:37941', 'CHEBI:34999', 'CHEBI:34398', 'CHEBI:34218', 'CHEBI:34205', 'CHEBI:34225', 'CHEBI:34233', 'CHEBI:31248', 'CHEBI:33421', 'CHEBI:34246', 'CHEBI:34759', 'CHEBI:34994', 'CHEBI:34395', 'CHEBI:34935', 'CHEBI:34936', 'CHEBI:52091', 'CHEBI:48459', 'CHEBI:47520', 'CHEBI:50099', 'CHEBI:47782', 'CHEBI:53115', 'CHEBI:47518', 'CHEBI:48336', 'CHEBI:48339', 'CHEBI:46630', 'CHEBI:46632', 'CHEBI:47727', 'CHEBI:48344', 'CHEBI:48623', 'CHEBI:51368', 'CHEBI:47351', 'CHEBI:50138', 'CHEBI:51644', 'CHEBI:51645', 'CHEBI:47273', 'CHEBI:47344', 'CHEBI:47417', 'CHEBI:47617', 'CHEBI:48347', 'CHEBI:48491', 'CHEBI:47249', 'CHEBI:46636', 'CHEBI:47628', 'CHEBI:47069', 'CHEBI:47106', 'CHEBI:49101', 'CHEBI:48461', 'CHEBI:48463', 'CHEBI:48472', 'CHEBI:48473', 'CHEBI:48475', 'CHEBI:48477', 'CHEBI:48478', 'CHEBI:48479', 'CHEBI:48481', 'CHEBI:47188', 'CHEBI:52042', 'CHEBI:52048', 'CHEBI:52140', 'CHEBI:53053', 'CHEBI:48523', 'CHEBI:48524', 'CHEBI:52013', 'CHEBI:48492', 'CHEBI:48220', 'CHEBI:53660', 'CHEBI:53678', 'CHEBI:53679', 'CHEBI:53685', 'CHEBI:53795', 'CHEBI:53796', 'CHEBI:55518', 'CHEBI:59061', 'CHEBI:59097', 'CHEBI:59149', 'CHEBI:59242', 'CHEBI:59245', 'CHEBI:59246', 'CHEBI:59287', 'CHEBI:59288', 'CHEBI:59328', 'CHEBI:59329', 'CHEBI:59472', 'CHEBI:59479', 'CHEBI:59480', 'CHEBI:59567', 'CHEBI:59568', 'CHEBI:59609', 'CHEBI:59611', 'CHEBI:59612', 'CHEBI:59613', 'CHEBI:60235', 'CHEBI:60716', 'CHEBI:60719', 'CHEBI:60799', 'CHEBI:61116', 'CHEBI:61390', 'CHEBI:61399', 'CHEBI:61547', 'CHEBI:61752', 'CHEBI:62173', 'CHEBI:63451', 'CHEBI:63637', 'CHEBI:63927', 'CHEBI:64043', 'CHEBI:64060', 'CHEBI:64072', 'CHEBI:64083', 'CHEBI:64217', 'CHEBI:64218', 'CHEBI:64219', 'CHEBI:64598', 'CHEBI:66615', 'CHEBI:66903', 'CHEBI:67113', 'CHEBI:68647', 'CHEBI:70773', 'CHEBI:71026', 'CHEBI:71204', 'CHEBI:72289', 'CHEBI:73177', 'CHEBI:73290', 'CHEBI:73358', 'CHEBI:74325', 'CHEBI:75037', 'CHEBI:75051', 'CHEBI:75330', 'CHEBI:75337', 'CHEBI:75370', 'CHEBI:75373', 'CHEBI:75374', 'CHEBI:75390', 'CHEBI:75392', 'CHEBI:75404', 'CHEBI:75703', 'CHEBI:75704', 'CHEBI:75712', 'CHEBI:76114', 'CHEBI:76164', 'CHEBI:76263', 'CHEBI:76274', 'CHEBI:76277', 'CHEBI:76598', 'CHEBI:77054', 'CHEBI:77555', 'CHEBI:77776', 'CHEBI:77898', 'CHEBI:77903', 'CHEBI:77905', 'CHEBI:77993', 'CHEBI:78331', 'CHEBI:78344', 'CHEBI:78538', 'CHEBI:78766', 'CHEBI:78780', 'CHEBI:79310', 'CHEBI:79384', 'CHEBI:79706', 'CHEBI:79750', 'CHEBI:79751', 'CHEBI:79752', 'CHEBI:90620', 'CHEBI:90703', 'CHEBI:90528', 'CHEBI:90529', 'CHEBI:90537', 'CHEBI:90538', 'CHEBI:90396', 'CHEBI:90288', 'CHEBI:90197', 'CHEBI:90203', 'CHEBI:90227', 'CHEBI:88328', 'CHEBI:88307', 'CHEBI:88308', 'CHEBI:88214', 'CHEBI:87576', 'CHEBI:87577', 'CHEBI:87578', 'CHEBI:87541', 'CHEBI:87543', 'CHEBI:87237', 'CHEBI:87193', 'CHEBI:86568', 'CHEBI:86428', 'CHEBI:86429', 'CHEBI:85994', 'CHEBI:86006', 'CHEBI:85785', 'CHEBI:85786', 'CHEBI:85646', 'CHEBI:85647', 'CHEBI:85327', 'CHEBI:85251', 'CHEBI:83993', 'CHEBI:83999', 'CHEBI:84000', 'CHEBI:84001', 'CHEBI:84002', 'CHEBI:84003', 'CHEBI:84004', 'CHEBI:84005', 'CHEBI:84006', 'CHEBI:84008', 'CHEBI:84014', 'CHEBI:84016', 'CHEBI:83920', 'CHEBI:83923', 'CHEBI:83924', 'CHEBI:83932', 'CHEBI:83973', 'CHEBI:83906', 'CHEBI:83909', 'CHEBI:83911', 'CHEBI:83781', 'CHEBI:83826', 'CHEBI:83827', 'CHEBI:83829', 'CHEBI:83830', 'CHEBI:83831', 'CHEBI:83719', 'CHEBI:83729', 'CHEBI:83730', 'CHEBI:83731', 'CHEBI:83732', 'CHEBI:83733', 'CHEBI:83748', 'CHEBI:83759', 'CHEBI:83779', 'CHEBI:83780', 'CHEBI:83648', 'CHEBI:83666', 'CHEBI:83667', 'CHEBI:83668', 'CHEBI:83682', 'CHEBI:83685', 'CHEBI:83686', 'CHEBI:83688', 'CHEBI:83689', 'CHEBI:83693', 'CHEBI:83694', 'CHEBI:83711', 'CHEBI:83712', 'CHEBI:83713', 'CHEBI:83603', 'CHEBI:83604', 'CHEBI:83613', 'CHEBI:83617', 'CHEBI:83618', 'CHEBI:83619', 'CHEBI:83637', 'CHEBI:83644', 'CHEBI:83531', 'CHEBI:83557', 'CHEBI:83558', 'CHEBI:83464', 'CHEBI:83466', 'CHEBI:83469', 'CHEBI:83487', 'CHEBI:83488', 'CHEBI:83489', 'CHEBI:83504', 'CHEBI:83394', 'CHEBI:83395', 'CHEBI:83396', 'CHEBI:83406', 'CHEBI:83426', 'CHEBI:83427', 'CHEBI:83341', 'CHEBI:83253', 'CHEBI:83261', 'CHEBI:83284', 'CHEBI:83187', 'CHEBI:83194', 'CHEBI:83202', 'CHEBI:83220', 'CHEBI:83106', 'CHEBI:82980', 'CHEBI:82981', 'CHEBI:82897', 'CHEBI:82853', 'CHEBI:82854', 'CHEBI:82872', 'CHEBI:82873', 'CHEBI:82877', 'CHEBI:82894', 'CHEBI:82708', 'CHEBI:82712', 'CHEBI:82720', 'CHEBI:82076', 'CHEBI:82090', 'CHEBI:82184', 'CHEBI:82200', 'CHEBI:82235', 'CHEBI:82420', 'CHEBI:81853', 'CHEBI:81856', 'CHEBI:81898', 'CHEBI:81900', 'CHEBI:81925', 'CHEBI:81946', 'CHEBI:81972', 'CHEBI:82018', 'CHEBI:82044', 'CHEBI:81759', 'CHEBI:81764', 'CHEBI:81767', 'CHEBI:81770', 'CHEBI:81773', 'CHEBI:81784', 'CHEBI:81785', 'CHEBI:81801', 'CHEBI:81806', 'CHEBI:81822', 'CHEBI:81825', 'CHEBI:81828', 'CHEBI:81830', 'CHEBI:81843', 'CHEBI:81852', 'CHEBI:81731', 'CHEBI:91326', 'CHEBI:91194', 'CHEBI:91195', 'CHEBI:91197', 'CHEBI:91091', 'CHEBI:91107', 'CHEBI:90930', 'CHEBI:90933', 'CHEBI:90939', 'CHEBI:90942', 'CHEBI:90882', 'CHEBI:90724', 'CHEBI:105048', 'CHEBI:116509', 'CHEBI:141497', 'CHEBI:141346', 'CHEBI:141152', 'CHEBI:140524', 'CHEBI:140420', 'CHEBI:140319', 'CHEBI:139579', 'CHEBI:139343', 'CHEBI:139344', 'CHEBI:139345', 'CHEBI:139041', 'CHEBI:139042', 'CHEBI:138670', 'CHEBI:138287', 'CHEBI:138240', 'CHEBI:137747', 'CHEBI:137374', 'CHEBI:136658', 'CHEBI:135477', 'CHEBI:134676', 'CHEBI:134602', 'CHEBI:134269', 'CHEBI:133823', 'CHEBI:133650', 'CHEBI:133651', 'CHEBI:133619', 'CHEBI:133542', 'CHEBI:133321', 'CHEBI:133104', 'CHEBI:133122', 'CHEBI:133130', 'CHEBI:132986', 'CHEBI:133019', 'CHEBI:133021', 'CHEBI:132921', 'CHEBI:132930', 'CHEBI:132811', 'CHEBI:132426', 'CHEBI:132442', 'CHEBI:132357', 'CHEBI:132359', 'CHEBI:132268', 'CHEBI:132273', 'CHEBI:132298', 'CHEBI:132299', 'CHEBI:132055', 'CHEBI:132056', 'CHEBI:131998', 'CHEBI:131732', 'CHEBI:131599', 'CHEBI:149466', 'CHEBI:148439', 'CHEBI:147319', 'CHEBI:146279', 'CHEBI:146224', 'CHEBI:146225', 'CHEBI:146239', 'CHEBI:146241', 'CHEBI:146242', 'CHEBI:146245', 'CHEBI:145413', 'CHEBI:145414', 'CHEBI:145430', 'CHEBI:145477', 'CHEBI:145404', 'CHEBI:145218', 'CHEBI:144786', 'CHEBI:144862', 'CHEBI:144947', 'CHEBI:143827', 'CHEBI:143863', 'CHEBI:143873', 'CHEBI:143513', 'CHEBI:142786', 'CHEBI:142787', 'CHEBI:142794', 'CHEBI:142824', 'CHEBI:142826', 'CHEBI:142452', 'CHEBI:142281', 'CHEBI:142282', 'CHEBI:142283', 'CHEBI:142284', 'CHEBI:141969', 'CHEBI:156496', 'CHEBI:156148', 'CHEBI:156219', 'CHEBI:155891', 'CHEBI:156095', 'CHEBI:153569', 'CHEBI:174690', 'CHEBI:556580', 'CHEBI:580604', 'CHEBI:393747', 'CHEBI:420128', 'CHEBI:223401', 'CHEBI:223404', 'CHEBI:223792', 'CHEBI:166833', 'CHEBI:166845', 'CHEBI:166846', 'CHEBI:166848', 'CHEBI:166849', 'CHEBI:166853', 'CHEBI:166854', 'CHEBI:188648', 'CHEBI:943', 'CHEBI:3240', 'CHEBI:3398', 'CHEBI:3642', 'CHEBI:3650', 'CHEBI:3720', 'CHEBI:3738', 'CHEBI:3749', 'CHEBI:3756', 'CHEBI:6121', 'CHEBI:8489', 'CHEBI:15470', 'CHEBI:15498', 'CHEBI:15788', 'CHEBI:16130', 'CHEBI:16598', 'CHEBI:16738', 'CHEBI:16767', 'CHEBI:17042', 'CHEBI:17346', 'CHEBI:17642', 'CHEBI:18314', 'CHEBI:20331', 'CHEBI:27451', 'CHEBI:27454', 'CHEBI:27545', 'CHEBI:27633', 'CHEBI:27644', 'CHEBI:27675', 'CHEBI:27715', 'CHEBI:27757', 'CHEBI:27772', 'CHEBI:27841', 'CHEBI:27864', 'CHEBI:27903', 'CHEBI:27929', 'CHEBI:28016', 'CHEBI:28078', 'CHEBI:28097', 'CHEBI:28124', 'CHEBI:28139', 'CHEBI:28222', 'CHEBI:28263', 'CHEBI:28288', 'CHEBI:28318', 'CHEBI:28410', 'CHEBI:28435', 'CHEBI:28457', 'CHEBI:28520', 'CHEBI:28555', 'CHEBI:28618', 'CHEBI:28755', 'CHEBI:28763', 'CHEBI:28854', 'CHEBI:28909', 'CHEBI:28959', 'CHEBI:28978', 'CHEBI:28979', 'CHEBI:30747', 'CHEBI:30748', 'CHEBI:30749', 'CHEBI:30793', 'CHEBI:32971', 'CHEBI:34648', 'CHEBI:35289', 'CHEBI:35290', 'CHEBI:35434', 'CHEBI:38855', 'CHEBI:46635', 'CHEBI:46745', 'CHEBI:47083', 'CHEBI:47136', 'CHEBI:47147', 'CHEBI:47381', 'CHEBI:47612', 'CHEBI:49410', 'CHEBI:49509', 'CHEBI:49512', 'CHEBI:49597', 'CHEBI:49662', 'CHEBI:49668', 'CHEBI:49791', 'CHEBI:49809', 'CHEBI:49916', 'CHEBI:50924', 'CHEBI:52010', 'CHEBI:64310', 'CHEBI:81981', 'CHEBI:101085', 'CHEBI:107736', 'CHEBI:116915', 'CHEBI:131174', 'CHEBI:145403', 'CHEBI:164200', 'CHEBI:166834', 'CHEBI:556075', 'CHEBI:575568', 'CHEBI:585948']
1	aromatic fungicide	['CHEBI:5692', 'CHEBI:3639', 'CHEBI:3628', 'CHEBI:34908', 'CHEBI:82044', 'CHEBI:17097', 'CHEBI:17231', 'CHEBI:17642', 'CHEBI:17847', 'CHEBI:27864', 'CHEBI:28054']
2	secoiridoid glycoside	['CHEBI:2622', 'CHEBI:66596', 'CHEBI:132850', 'CHEBI:132712', 'CHEBI:149585', 'CHEBI:7747', 'CHEBI:18002']
3	secoiridoid	['CHEBI:2622', 'CHEBI:66596', 'CHEBI:139162', 'CHEBI:132850', 'CHEBI:132712', 'CHEBI:149585', 'CHEBI:7747', 'CHEBI:18002']
4	iridoid monoterpenoid	['CHEBI:2622', 'CHEBI:25', 'CHEBI:5964', 'CHEBI:2260', 'CHEBI:6988', 'CHEBI:2881', 'CHEBI:26', 'CHEBI:4685', 'CHEBI:7518', 'CHEBI:7519', 'CHEBI:2515', 'CHEBI:65637', 'CHEBI:65957', 'CHEBI:66596', 'CHEBI:66598', 'CHEBI:66599', 'CHEBI:66600', 'CHEBI:76849', 'CHEBI:77027', 'CHEBI:139162', 'CHEBI:132850', 'CHEBI:132712', 'CHEBI:149585', 'CHEBI:144482', 'CHEBI:144485', 'CHEBI:143821', 'CHEBI:141988', 'CHEBI:141989', 'CHEBI:7747', 'CHEBI:15771', 'CHEBI:18002']
5	monoterpenoid	['CHEBI:2622', 'CHEBI:2866', 'CHEBI:10782', 'CHEBI:28', 'CHEBI:128', 'CHEBI:22469', 'CHEBI:4372', 'CHEBI:25', 'CHEBI:31', 'CHEBI:88', 'CHEBI:150', 'CHEBI:152', 'CHEBI:154', 'CHEBI:158', 'CHEBI:5964', 'CHEBI:232', 'CHEBI:300', 'CHEBI:2260', 'CHEBI:2317', 'CHEBI:10441', 'CHEBI:6750', 'CHEBI:5331', 'CHEBI:18451', 'CHEBI:168', 'CHEBI:41', 'CHEBI:18515', 'CHEBI:153', 'CHEBI:6988', 'CHEBI:24911', 'CHEBI:20570', 'CHEBI:24221', 'CHEBI:23046', 'CHEBI:23733', 'CHEBI:299', 'CHEBI:368', 'CHEBI:227', 'CHEBI:10330', 'CHEBI:6041', 'CHEBI:18481', 'CHEBI:3440', 'CHEBI:2881', 'CHEBI:155', 'CHEBI:166', 'CHEBI:98', 'CHEBI:10360', 'CHEBI:26381', 'CHEBI:149', 'CHEBI:9577', 'CHEBI:4999', 'CHEBI:26', 'CHEBI:4685', 'CHEBI:7518', 'CHEBI:7519', 'CHEBI:2515', 'CHEBI:34607', 'CHEBI:32319', 'CHEBI:38265', 'CHEBI:36773', 'CHEBI:36775', 'CHEBI:36776', 'CHEBI:36777', 'CHEBI:36778', 'CHEBI:36496', 'CHEBI:36503', 'CHEBI:37046', 'CHEBI:35669', 'CHEBI:35811', 'CHEBI:36612', 'CHEBI:32325', 'CHEBI:50462', 'CHEBI:47856', 'CHEBI:49177', 'CHEBI:50281', 'CHEBI:50282', 'CHEBI:50215', 'CHEBI:50283', 'CHEBI:48251', 'CHEBI:49156', 'CHEBI:49158', 'CHEBI:50244', 'CHEBI:50245', 'CHEBI:50250', 'CHEBI:49160', 'CHEBI:49162', 'CHEBI:50040', 'CHEBI:50045', 'CHEBI:50046', 'CHEBI:48255', 'CHEBI:48256', 'CHEBI:48258', 'CHEBI:48260', 'CHEBI:49250', 'CHEBI:49251', 'CHEBI:50542', 'CHEBI:50544', 'CHEBI:48317', 'CHEBI:48933', 'CHEBI:48934', 'CHEBI:53167', 'CHEBI:53169', 'CHEBI:53155', 'CHEBI:53177', 'CHEBI:53173', 'CHEBI:59155', 'CHEBI:61551', 'CHEBI:61552', 'CHEBI:61987', 'CHEBI:63902', 'CHEBI:64213', 'CHEBI:64229', 'CHEBI:64230', 'CHEBI:64231', 'CHEBI:64232', 'CHEBI:64235', 'CHEBI:64236', 'CHEBI:64238', 'CHEBI:64239', 'CHEBI:64259', 'CHEBI:64274', 'CHEBI:64298', 'CHEBI:64786', 'CHEBI:64787', 'CHEBI:64814', 'CHEBI:65637', 'CHEBI:65957', 'CHEBI:66026', 'CHEBI:66035', 'CHEBI:66480', 'CHEBI:66596', 'CHEBI:66598', 'CHEBI:66599', 'CHEBI:66600', 'CHEBI:67251', 'CHEBI:67264', 'CHEBI:67266', 'CHEBI:70478', 'CHEBI:74039', 'CHEBI:76306', 'CHEBI:76849', 'CHEBI:77027', 'CHEBI:78334', 'CHEBI:78335', 'CHEBI:78399', 'CHEBI:78400', 'CHEBI:78695', 'CHEBI:90098', 'CHEBI:90100', 'CHEBI:90102', 'CHEBI:90103', 'CHEBI:90075', 'CHEBI:87568', 'CHEBI:87528', 'CHEBI:87529', 'CHEBI:87546', 'CHEBI:85255', 'CHEBI:83263', 'CHEBI:82911', 'CHEBI:82204', 'CHEBI:80507', 'CHEBI:80788', 'CHEBI:90956', 'CHEBI:141292', 'CHEBI:141296', 'CHEBI:141210', 'CHEBI:139162', 'CHEBI:138363', 'CHEBI:134358', 'CHEBI:134359', 'CHEBI:134355', 'CHEBI:132899', 'CHEBI:132815', 'CHEBI:132816', 'CHEBI:132817', 'CHEBI:132828', 'CHEBI:132829', 'CHEBI:132839', 'CHEBI:132850', 'CHEBI:132789', 'CHEBI:132790', 'CHEBI:132791', 'CHEBI:132793', 'CHEBI:132794', 'CHEBI:132795', 'CHEBI:132796', 'CHEBI:132712', 'CHEBI:132331', 'CHEBI:149585', 'CHEBI:145806', 'CHEBI:145563', 'CHEBI:145564', 'CHEBI:144860', 'CHEBI:144482', 'CHEBI:144485', 'CHEBI:144575', 'CHEBI:144576', 'CHEBI:144705', 'CHEBI:144706', 'CHEBI:144710', 'CHEBI:143951', 'CHEBI:143952', 'CHEBI:143821', 'CHEBI:143898', 'CHEBI:143899', 'CHEBI:143703', 'CHEBI:142517', 'CHEBI:142524', 'CHEBI:141988', 'CHEBI:141989', 'CHEBI:156234', 'CHEBI:217301', 'CHEBI:165', 'CHEBI:7747', 'CHEBI:10447', 'CHEBI:15387', 'CHEBI:15388', 'CHEBI:15389', 'CHEBI:15392', 'CHEBI:15393', 'CHEBI:15394', 'CHEBI:15395', 'CHEBI:15396', 'CHEBI:15397', 'CHEBI:15398', 'CHEBI:15399', 'CHEBI:15400', 'CHEBI:15402', 'CHEBI:15403', 'CHEBI:15405', 'CHEBI:15406', 'CHEBI:15408', 'CHEBI:15409', 'CHEBI:15410', 'CHEBI:15420', 'CHEBI:15771', 'CHEBI:16053', 'CHEBI:16123', 'CHEBI:16271', 'CHEBI:16377', 'CHEBI:16431', 'CHEBI:16980', 'CHEBI:17219', 'CHEBI:17304', 'CHEBI:17447', 'CHEBI:17580', 'CHEBI:18002', 'CHEBI:18429', 'CHEBI:25459', 'CHEBI:26137', 'CHEBI:27607', 'CHEBI:27628', 'CHEBI:27961', 'CHEBI:28093', 'CHEBI:28258', 'CHEBI:28996', 'CHEBI:29020', 'CHEBI:29060', 'CHEBI:29452', 'CHEBI:35596', 'CHEBI:35672', 'CHEBI:36492', 'CHEBI:36742', 'CHEBI:37047', 'CHEBI:38249', 'CHEBI:43812', 'CHEBI:48250', 'CHEBI:49164', 'CHEBI:50043', 'CHEBI:50110', 'CHEBI:50232', 'CHEBI:50233', 'CHEBI:50235', 'CHEBI:50246', 'CHEBI:78884', 'CHEBI:132788']
6	terpene glycoside	['CHEBI:2622', 'CHEBI:2364', 'CHEBI:9211', 'CHEBI:2260', 'CHEBI:2538', 'CHEBI:2897', 'CHEBI:2999', 'CHEBI:5634', 'CHEBI:9271', 'CHEBI:2515', 'CHEBI:61749', 'CHEBI:62439', 'CHEBI:62442', 'CHEBI:62445', 'CHEBI:62867', 'CHEBI:65379', 'CHEBI:65380', 'CHEBI:65381', 'CHEBI:65424', 'CHEBI:65425', 'CHEBI:65426', 'CHEBI:65427', 'CHEBI:65428', 'CHEBI:65457', 'CHEBI:65574', 'CHEBI:65632', 'CHEBI:65689', 'CHEBI:65690', 'CHEBI:65691', 'CHEBI:65692', 'CHEBI:65693', 'CHEBI:65694', 'CHEBI:65755', 'CHEBI:65756', 'CHEBI:65757', 'CHEBI:65758', 'CHEBI:65759', 'CHEBI:65760', 'CHEBI:65761', 'CHEBI:65903', 'CHEBI:65904', 'CHEBI:65907', 'CHEBI:65908', 'CHEBI:65909', 'CHEBI:65913', 'CHEBI:65957', 'CHEBI:65973', 'CHEBI:65974', 'CHEBI:65986', 'CHEBI:65987', 'CHEBI:65988', 'CHEBI:65992', 'CHEBI:65993', 'CHEBI:65994', 'CHEBI:66157', 'CHEBI:66158', 'CHEBI:66169', 'CHEBI:66170', 'CHEBI:66173', 'CHEBI:66278', 'CHEBI:66290', 'CHEBI:66314', 'CHEBI:66315', 'CHEBI:66316', 'CHEBI:66317', 'CHEBI:66425', 'CHEBI:66439', 'CHEBI:66464', 'CHEBI:66465', 'CHEBI:66466', 'CHEBI:66467', 'CHEBI:66469', 'CHEBI:66480', 'CHEBI:66545', 'CHEBI:66596', 'CHEBI:66651', 'CHEBI:66652', 'CHEBI:66653', 'CHEBI:66674', 'CHEBI:66675', 'CHEBI:66702', 'CHEBI:66801', 'CHEBI:66818', 'CHEBI:67236', 'CHEBI:67240', 'CHEBI:67242', 'CHEBI:67243', 'CHEBI:67497', 'CHEBI:67498', 'CHEBI:67499', 'CHEBI:67500', 'CHEBI:67501', 'CHEBI:67502', 'CHEBI:67503', 'CHEBI:67504', 'CHEBI:67910', 'CHEBI:67917', 'CHEBI:67941', 'CHEBI:67943', 'CHEBI:67944', 'CHEBI:67947', 'CHEBI:67948', 'CHEBI:67952', 'CHEBI:67988', 'CHEBI:67989', 'CHEBI:67990', 'CHEBI:67991', 'CHEBI:68085', 'CHEBI:68377', 'CHEBI:68378', 'CHEBI:68379', 'CHEBI:68907', 'CHEBI:68908', 'CHEBI:68910', 'CHEBI:68911', 'CHEBI:68912', 'CHEBI:68913', 'CHEBI:68914', 'CHEBI:68915', 'CHEBI:68916', 'CHEBI:68917', 'CHEBI:68918', 'CHEBI:68929', 'CHEBI:69365', 'CHEBI:69366', 'CHEBI:69367', 'CHEBI:69370', 'CHEBI:69371', 'CHEBI:69372', 'CHEBI:69373', 'CHEBI:69374', 'CHEBI:69375', 'CHEBI:69507', 'CHEBI:69508', 'CHEBI:69509', 'CHEBI:69510', 'CHEBI:69511', 'CHEBI:69601', 'CHEBI:69602', 'CHEBI:69603', 'CHEBI:69604', 'CHEBI:69605', 'CHEBI:69606', 'CHEBI:69607', 'CHEBI:69608', 'CHEBI:69609', 'CHEBI:69611', 'CHEBI:69612', 'CHEBI:74448', 'CHEBI:74453', 'CHEBI:77145', 'CHEBI:77146', 'CHEBI:77147', 'CHEBI:77150', 'CHEBI:77151', 'CHEBI:77152', 'CHEBI:77153', 'CHEBI:77154', 'CHEBI:77155', 'CHEBI:77156', 'CHEBI:77157', 'CHEBI:77490', 'CHEBI:77491', 'CHEBI:82822', 'CHEBI:82825', 'CHEBI:82654', 'CHEBI:91024', 'CHEBI:91026', 'CHEBI:138975', 'CHEBI:133834', 'CHEBI:133420', 'CHEBI:132815', 'CHEBI:132816', 'CHEBI:132817', 'CHEBI:132850', 'CHEBI:132789', 'CHEBI:132790', 'CHEBI:132791', 'CHEBI:132793', 'CHEBI:132794', 'CHEBI:132712', 'CHEBI:149585', 'CHEBI:145019', 'CHEBI:145021', 'CHEBI:145022', 'CHEBI:145029', 'CHEBI:145030', 'CHEBI:145012', 'CHEBI:145018', 'CHEBI:143821', 'CHEBI:142487', 'CHEBI:7747', 'CHEBI:9110', 'CHEBI:15939', 'CHEBI:18002', 'CHEBI:27408', 'CHEBI:65429', 'CHEBI:67986', 'CHEBI:67987', 'CHEBI:77148', 'CHEBI:77149']
