ms_file,ms_file_label,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_file_size_MB,rt_diff [s]
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B2.mzXML,CA_B2,Urocanate,137.0354,10,264.9,240.0,290.0,s,0,targets.csv,93812.0,5676.0,49,7086.0,256.3680114746094,359.0,1855.0,1914.530612244898,580.0,"240.44,241.2,241.96,242.72,243.48,244.24,244.99,245.75,246.51,247.27,248.03,248.79,249.54,251.82,254.09,255.61,256.37,257.89,258.64,260.16,260.92,261.68,262.43,263.19,263.95,264.71,265.47,266.23,266.98,267.74,268.5,269.26,270.77,271.53,272.27,273.0,273.74,274.5,276.01,276.77,278.99,279.69,280.41,281.15,281.91,282.66,283.42,284.18,284.85","1959,2492,3286,1687,2505,2243,1695,2392,2293,771,2183,831,829,729,885,414,399,359,524,2389,2444,3782,5100,6032,7086,3912,1911,2864,2335,2107,715,2483,891,1855,459,901,727,481,809,437,550,1185,596,3260,2251,710,2953,2732,1379",-0.33119721033665767,-0.10849870962078424,0.002850540737152462,0.09391367055105364,23900088940,12.576957702636719,-8.531988525390602
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B2.mzXML,CA_B2,Xanthine,151.02585,10,250.0,208.0,290.8,s,0,targets.csv,4177645.0,168404.0,113,176777.0,244.23500061035156,4798.0,14028.0,36970.30973451328,26324.0,"208.32,209.05,209.79,210.53,211.29,212.03,212.78,213.53,214.29,215.05,215.8,216.54,217.29,218.05,218.77,219.48,220.21,220.93,221.66,222.39,223.12,223.85,224.59,225.34,226.07,226.82,227.56,228.31,229.07,229.83,230.59,231.35,232.1,232.86,233.62,234.38,235.14,235.9,236.65,237.41,238.17,238.93,239.69,240.44,241.2,241.96,242.72,243.48,244.24,244.99,245.75,246.51,247.27,248.03,248.79,249.54,250.3,251.06,251.82,252.58,253.34,254.09,254.85,255.61,256.37,257.13,257.89,258.64,259.4,260.16,260.92,261.68,262.43,263.19,263.95,264.71,265.47,266.23,266.98,267.74,268.5,269.26,270.02,270.77,271.53,272.27,273.0,273.74,274.5,275.25,276.01,276.77,277.53,278.27,278.99,279.69,280.41,281.15,281.91,282.66,283.42,284.18,284.85,285.47,286.06,286.65,287.23,287.82,288.41,289.01,289.61,290.19,290.79","4798,7507,8068,9336,11034,8287,13573,15926,13118,14706,16959,24255,33144,56578,66753,100214,101922,123309,124444,148547,158784,164638,176777,163798,160955,160295,136192,126379,116507,92823,88401,79199,78335,67063,64269,60457,48178,52015,48407,45438,42261,42121,42241,39668,37141,42973,39752,34939,43267,46544,37715,26678,29084,19249,19613,24650,17846,17566,11947,11031,11500,12713,11250,14028,10233,13746,11083,10864,9031,9384,10295,8203,9751,8927,9562,9659,10737,7933,7557,8015,9321,7067,8321,8047,7900,7686,10088,8061,9861,6956,6174,6851,9785,8529,6530,7572,9465,8503,5657,7668,5941,6507,6212,15038,13917,12348,12052,18153,13748,20754,23961,15705,31122",-0.1117035075701865,-0.1117035075701865,-0.010669220641822913,0.13804837777807866,23900088940,12.576957702636719,-5.7649993896484375
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B3.mzXML,CA_B3,Arabitol,151.0605,10,295.50000000000006,277.0,315.0,s,0,targets.csv,1814563.0,76728.0,60,78222.0,281.5320129394531,1076.0,28291.5,30242.716666666667,1176.0,"277.55,278.21,278.86,279.51,280.17,280.85,281.53,282.23,282.92,283.62,284.29,284.91,285.5,286.08,286.66,287.23,287.81,288.39,288.97,289.55,290.13,290.71,291.3,291.89,292.48,293.08,293.67,294.27,294.87,295.48,296.09,296.71,297.34,297.96,298.59,299.22,299.85,300.48,301.14,301.79,302.45,303.11,303.77,304.44,305.1,305.77,306.45,307.13,307.8,308.47,309.14,309.83,310.52,311.21,311.9,312.59,313.27,313.96,314.67","6540,5514,8638,10682,18114,28122,32570,53874,73751,78222,78211,71625,37348,51501,47350,33234,27232,29131,52030,53484,40784,34233,46950,48012,37965,44067,49511,43719,47527,55244,32350,39321,44245,31871,30876,24527,25531,28461,37606,22506,26252,25650,21909,18223,21285,16013,12556,15794,13922,10775,8158,9565,10312,6844,7610,7220,6602,6954,5364",2.4315394846571388,2.532550596512985,2.6335617083688305,0.06336279980869322,28075546083,12.875276565551758,-13.967987060546932
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B3.mzXML,CA_B3,Mevalonate,147.0657,10,180.0,100.0,266.0,s,0,targets.csv,23057.0,1003.0,36,1823.0,232.53700256347656,367.0,531.5,640.4722222222222,61.0,"104.63,106.14,106.9,116.76,117.52,122.07,123.58,126.62,127.38,128.13,128.89,131.93,132.68,134.2,134.96,137.23,137.99,139.51,140.26,141.78,142.54,143.3,147.82,150.1,150.85,153.12,159.18,163.73,164.49,166.76,169.8,174.35,187.24,188.75,190.27,232.54","467,447,479,430,495,889,566,601,856,628,481,418,841,1413,378,1823,809,810,697,705,425,801,535,611,699,674,479,499,470,833,521,367,443,462,477,528",1.6636892957829927,2.0008927664299554,2.208402594520394,0.01810801156318868,28075546083,12.875276565551758,52.53700256347656
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B3.mzXML,CA_B3,Nicotinate,122.02455,10,183.204,163.0,228.0,s,0,targets.csv,503195.0,21232.0,61,23892.0,220.57899475097656,692.0,3938.0,8249.098360655738,2.0,"176.62,177.38,178.14,178.9,179.65,180.41,181.17,181.93,182.69,183.44,184.2,184.96,185.72,186.48,187.24,187.99,188.75,189.51,190.27,191.03,191.79,192.54,193.3,194.02,194.74,195.45,196.15,196.86,197.56,198.26,198.96,199.66,200.37,201.07,201.77,202.47,203.18,203.89,204.59,205.29,205.99,206.69,207.39,208.07,208.76,209.46,210.17,212.28,212.98,213.69,214.4,215.11,216.49,217.18,217.87,220.58,224.69,225.38,226.09,226.81,227.52","692,935,2929,3692,5323,7651,8446,9006,13063,18686,20911,20977,19506,23452,20962,20236,21779,23892,18027,21826,13718,15002,20741,22336,17375,15098,12764,11242,8594,7194,7962,8355,4085,5317,3216,3938,2677,2788,3211,2307,2881,2422,2693,2424,2409,2238,2154,731,963,892,1032,1287,982,1415,2724,992,1375,959,853,1164,694",-0.6138301166032306,-0.4262597990421333,-0.30121292066806843,0.03817022002170682,28075546083,12.875276565551758,37.374994750976555
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B3.mzXML,CA_B3,Succinate,117.01905,10,122.634,122.2,150.0,s,0,targets.csv,363722.0,13645.0,37,22181.0,144.05599975585938,712.0,9453.0,9830.324324324325,15730.0,"122.83,123.58,124.34,125.1,125.86,126.62,127.38,128.13,128.89,129.65,130.41,131.17,131.93,132.68,133.44,134.2,134.96,135.72,136.47,137.23,137.99,138.75,139.51,140.26,141.02,141.78,142.54,143.3,144.06,144.82,145.55,146.31,147.06,147.82,148.58,149.34","22181,18755,14472,14474,16279,15860,15070,11539,13435,12341,10435,11164,9453,10570,12648,10542,9902,8914,10174,10138,7254,7757,5049,8226,7825,6963,5642,6115,7018,6850,6987,3523,7733,5033,6238,6451",-0.19048213992000398,-0.06008637049186386,0.07030939893627627,0.030906717866813063,28075546083,12.875276565551758,21.421999755859375
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B3.mzXML,CA_B3,Urocanate,137.0354,10,264.9,240.0,290.0,s,0,targets.csv,132246.0,8319.0,53,10670.0,267.79400634765625,508.0,2256.0,2495.2075471698113,1738.0,"240.48,241.2,241.93,242.64,243.36,244.08,244.8,245.54,246.27,246.99,247.73,248.46,249.19,249.92,250.66,251.38,253.54,254.27,255.0,255.71,256.44,257.88,258.61,259.32,260.04,260.74,261.45,262.15,262.88,263.58,264.29,264.98,265.68,266.39,267.1,267.79,268.52,269.24,269.95,270.65,271.35,273.37,274.05,274.74,276.15,276.86,280.17,280.85,281.53,282.23,282.92,283.62,284.29","2897,2460,1040,2256,3286,2975,3135,3209,2859,3125,3002,1945,853,2405,2401,738,1051,653,972,508,1047,1108,523,694,3858,2650,6785,10670,7502,5817,6859,2295,3065,1179,2467,819,2243,1144,626,934,834,758,902,968,1166,974,1301,3221,3974,4222,5070,3642,1159",-0.33119721033665767,-0.10849870962078424,0.11419979109508917,0.2184492522318933,28075546083,12.875276565551758,2.8940063476562727
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B3.mzXML,CA_B3,Xanthine,151.02585,10,250.0,208.0,290.8,s,0,targets.csv,7163516.0,295417.0,120,311265.0,249.18899536132812,7192.0,21003.5,59695.96666666667,22422.0,"208.07,208.76,209.46,210.17,210.88,211.58,212.28,212.98,213.69,214.4,215.11,215.8,216.49,217.18,217.87,218.54,219.23,219.9,220.58,221.26,221.94,222.63,223.32,224.0,224.69,225.38,226.09,226.81,227.52,228.23,228.94,229.65,230.38,231.09,231.81,232.54,233.26,233.99,234.73,235.45,236.17,236.9,237.6,238.32,239.04,239.76,240.48,241.2,241.93,242.64,243.36,244.08,244.8,245.54,246.27,246.99,247.73,248.46,249.19,249.92,250.66,251.38,252.1,252.82,253.54,254.27,255.0,255.71,256.44,257.16,257.88,258.61,259.32,260.04,260.74,261.45,262.15,262.88,263.58,264.29,264.98,265.68,266.39,267.1,267.79,268.52,269.24,269.95,270.65,271.35,272.02,272.7,273.37,274.05,274.74,275.45,276.15,276.86,277.55,278.21,278.86,279.51,280.17,280.85,281.53,282.23,282.92,283.62,284.29,284.91,285.5,286.08,286.66,287.23,287.81,288.39,288.97,289.55,290.13,290.71","9465,10703,9017,12714,11112,17039,18775,14273,15675,17995,26329,49398,65421,87144,112979,140330,169458,220198,196652,220590,276049,285282,286186,311265,288801,266644,250106,218559,217467,192303,164345,141819,127592,105388,109234,99578,94420,89107,78767,77227,69173,71309,64338,71009,66439,59264,67279,71613,62932,60887,57929,63208,54543,50067,43218,42571,36414,31617,22864,26305,21406,25280,17573,21288,16555,17082,15265,13616,15310,14697,14658,13972,13580,13770,14738,12107,16415,14891,17268,11273,12025,11387,9563,12461,9113,9305,10977,11511,13411,16042,13110,12850,11752,14513,11841,9130,9669,13076,9316,15553,13332,10337,13702,9531,11658,7192,10900,7348,10628,17754,24154,19150,18674,20719,27131,44797,32956,31136,44796,31887",-0.2127377944985501,-0.010669220641822913,0.09036506628654069,0.7662675142302686,28075546083,12.875276565551758,-0.811004638671875
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B4.mzXML,CA_B4,Arabitol,151.0605,10,295.50000000000006,277.0,315.0,s,0,targets.csv,2809781.0,111381.0,59,129437.0,279.7650146484375,3176.0,51847.0,47623.40677966102,6907.0,"277.09,277.79,278.45,279.11,279.77,280.45,281.13,281.83,282.53,283.25,283.95,284.61,285.22,285.81,286.39,286.96,287.54,288.12,288.7,289.28,289.86,290.44,291.03,291.62,292.2,292.8,293.39,293.99,294.59,295.2,295.82,296.43,297.05,297.68,298.3,298.93,299.58,300.22,300.87,301.52,302.18,302.84,303.51,304.17,304.83,305.5,306.17,306.84,307.52,308.2,308.87,309.55,310.23,310.92,311.61,312.29,312.98,313.67,314.37","3176,4682,5259,8568,12954,20102,30255,51241,63780,81986,129437,122721,88038,70209,57895,61990,68031,69253,85418,51847,62275,79217,69875,77676,89932,72451,71073,73232,73419,69926,64576,71022,66542,57350,58088,65269,54606,49619,59158,44835,40960,39339,26208,33278,30237,27346,21208,22160,20212,15969,18299,18304,16796,12882,11108,8659,10480,9270,10083",2.330528372801293,2.4315394846571388,2.532550596512985,0.05462527279027317,28102636578,12.762396812438965,-15.734985351562557
/data/Metabolomics/ms-mint/230508__ms-mint-demofiles/ms-files/CA_B4.mzXML,CA_B4,Mevalonate,147.0657,10,180.0,100.0,266.0,s,0,targets.csv,19815.0,1161.0,34,2092.0,125.22899627685547,346.0,504.0,582.7941176470588,334.0,"100.97,101.73,104.76,106.27,119.16,120.68,121.44,122.95,125.23,125.99,126.75,129.02,129.78,131.29,132.81,133.57,135.85,137.36,138.12,138.88,139.64,140.39,142.67,143.43,150.25,160.87,167.69,168.45,169.21,173.0,174.51,187.41,192.71,194.96","542,567,507,405,564,427,474,453,576,500,469,501,793,700,2092,692,745,539,764,554,477,448,573,623,482,472,481,450,410,402,397,346,514,876",1.5858731102490784,2.052770223452565,2.312157508565613,0.013375057555964407,28102636578,12.762396812438965,-54.77100372314453
